date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:37:19	63642/63642	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:37:18%20GMT	https://www.bupkis.org/	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.html	(from )
11:37:19	111/111	U-----	200	untouched ('OK')	text/plain	date:Fri,%2013%20Dec%202024%2018:45:48%20GMT	https://www.bupkis.org/robots.txt		(from )
11:37:19	156/156	------	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Fri,%2013%20Dec%202024%2018:50:13%20GMT	https://www.bupkis.org/wp-content/uploads/Pozole-1024x664.jpg	/home/steph/Desktop/bupkis.org/www.bupkis.org/wp-content/uploads/Pozole-1024x664.jpg	(from https://www.bupkis.org/)
11:37:20	1371/1371	U--MC-	200	updated ('OK')	text/css	date:Sat,%2014%20Dec%202024%2016:37:20%20GMT	http://fonts.googleapis.com/css?family=Playfair+Display:regular,italic,700,700italic,900,900italic	/home/steph/Desktop/bupkis.org/fonts.googleapis.com/css58da.css	(from https://www.bupkis.org/)
11:37:20	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Dec%202024%2016:37:20%20GMT	https://fonts.gstatic.com/	/home/steph/Desktop/bupkis.org/fonts.gstatic.com/index.html	(from https://www.bupkis.org/)
11:37:20	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Dec%202024%2016:37:20%20GMT	https://fonts.googleapis.com/	/home/steph/Desktop/bupkis.org/fonts.googleapis.com/index.html	(from https://www.bupkis.org/)
11:37:20	905/905	U--M-Z	200	updated ('OK')	application/rss+xml	etag:%225ca8dab331ea33c1e2df09548f51cbc9-gzip%22	https://www.bupkis.org/index.php/feed	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/feed	(from https://www.bupkis.org/)
11:37:20	799/799	U--M-Z	200	updated ('OK')	application/rss+xml	etag:%225ca8dab331ea33c1e2df09548f51cbc9-gzip%22	https://www.bupkis.org/index.php/comments/feed	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/comments/feed	(from https://www.bupkis.org/)
11:37:21	60413/60413	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:37:21%20GMT	https://www.bupkis.org/index.php/friends	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/friends.html	(from https://www.bupkis.org/)
11:37:21	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Dec%202024%2016:37:21%20GMT	https://fonts.gstatic.com/robots.txt		(from https://www.bupkis.org/)
11:37:22	60900/60900	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:37:21%20GMT	https://www.bupkis.org/index.php/friends/humans	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/friends/humans.html	(from https://www.bupkis.org/)
11:37:22	62172/62172	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:37:21%20GMT	https://www.bupkis.org/index.php/friends/molson	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/friends/molson.html	(from https://www.bupkis.org/)
11:37:22	61179/61179	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:37:22%20GMT	https://www.bupkis.org/index.php/friends/russell	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/friends/russell.html	(from https://www.bupkis.org/)
11:37:23	59912/59912	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:37:22%20GMT	https://www.bupkis.org/index.php/sam	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/sam.html	(from https://www.bupkis.org/)
11:37:23	65469/65469	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:37:23%20GMT	https://www.bupkis.org/index.php/sams-dog-food	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/sams-dog-food.html	(from https://www.bupkis.org/)
11:37:24	62942/62942	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:37:23%20GMT	https://www.bupkis.org/index.php/friends/sam	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/friends/sam.html	(from https://www.bupkis.org/)
11:37:24	61917/61917	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:37:24%20GMT	https://www.bupkis.org/index.php/recipes-2/pizza-index/tomato-sauce	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/recipes-2/pizza-index/tomato-sauce.html	(from https://www.bupkis.org/)
11:37:25	64837/64837	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:37:24%20GMT	https://www.bupkis.org/index.php/recipes-2/pizza-index/pizza-dough	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/recipes-2/pizza-index/pizza-dough.html	(from https://www.bupkis.org/)
11:37:25	62792/62792	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:37:24%20GMT	https://www.bupkis.org/index.php/recipes-2/sauces/basil-pesto	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/recipes-2/sauces/basil-pesto.html	(from https://www.bupkis.org/)
11:37:25	64265/64265	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:37:25%20GMT	https://www.bupkis.org/index.php/recipes-2/pizza-index/roasted-red-pepper-sausage-mushroom-pizza	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/recipes-2/pizza-index/roasted-red-pepper-sausage-mushroom-pizza.html	(from https://www.bupkis.org/)
11:37:26	62676/62676	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:37:25%20GMT	https://www.bupkis.org/index.php/recipes-2/pizza-index/broccoli-garlic-pizza	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/recipes-2/pizza-index/broccoli-garlic-pizza.html	(from https://www.bupkis.org/)
11:37:26	63699/63699	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:37:25%20GMT	https://www.bupkis.org/index.php/recipes-2/pizza-index/pesto-garlic-pizza	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/recipes-2/pizza-index/pesto-garlic-pizza.html	(from https://www.bupkis.org/)
11:37:26	808/808	U--M-Z	200	updated ('OK')	text/xml	date:Sat,%2014%20Dec%202024%2016:37:21%20GMT	https://www.bupkis.org/xmlrpc.php?rsd	/home/steph/Desktop/bupkis.org/www.bupkis.org/xmlrpc0db0.php	(from https://www.bupkis.org/)
11:37:27	63531/63531	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:37:26%20GMT	https://www.bupkis.org/index.php/recipes-2/appetizers/gambas-ajillo-garlic-shrimp	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/recipes-2/appetizers/gambas-ajillo-garlic-shrimp.html	(from https://www.bupkis.org/)
11:37:27	62165/62165	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2016:37:26%20GMT	https://www.bupkis.org/index.php/recipes-2/appetizers/guacamole	/home/steph/Desktop/bupkis.org/www.bupkis.org/index.php/recipes-2/appetizers/guacamole.html	(from https://www.bupkis.org/)
